start_frame,end_frame,stroke_id,max_speed,median_speed,Unnamed: 4
744,748,1,54.58,53.93094905,姿勢不對
905,919,2,98.92,52.32232056,觸網沒過
1054,1055,3,81.39,67.9868996,
1195,1197,4,95.76,91.6649872,
1340,1343,5,83.45,45.36789658,
1485,1488,6,105.8,88.97455222,
1634,1636,7,101.08,58.8347714,
1776,1789,8,105.55,67.17615438,觸網沒過
1924,1927,9,91.66,76.4485749,
2061,2064,10,91.66,82.86989903,
2203,2206,11,105.55,83.85366701,
2346,2348,12,95.59,78.78030942,
2493,2493,13,76.66,76.66,
2641,2644,14,105.55,70.94837944,
2796,2799,15,115.7,87.55992439,
2939,2944,16,82.56,61.56312341,
3078,3088,17,121.83,19.3023655,觸網沒過
3222,3225,18,91.66,85.76419049,
3368,3370,19,106.39,63.05341193,
,,20,0,0,miss
3653,3656,21,87.93,59.5023353,
3803,3804,22,119.2,78.20701332,
3946,3948,23,113.76,67.79544852,
4091,4094,24,78.78,70.4399425,
4233,4236,25,102.07,86.70932825,
4372,4384,26,80.01,60.90115992,觸網沒過
4515,4517,27,81.12,75.42719724,
4660,4661,28,83.45,71.8206116,
4801,4802,29,77.61,61.96094235,擦網過
,,mean_max_speed,95.58111111,,扣掉第一球
,,mean_median_speed,,69.22838354,
